pergunta;resposta_1;resposta_2;resposta_3;resposta_correta
Qual modo de criptografia é manual?;a) Cítala espartana-;b) Enigma;c) SHA-1;1
O que é um firewall?;a) Uma parede de fogo;b) Padrão de projeto aplicado na linguagem C;c) Dispositivo que monitora o trafégo que entra e sai de sua rede-;3
O que é o Singleton?;a) Padrão de projeto-;b) Linguagem de programação;c) Componente de Hardware;1
O que é uma Thread?;a) É um fio;b) Uma linguagem de programação;c) Tarefa realizada por um programa;3
P5;R5;R15;R25;1
P6;R6;R16;R26;1
P7;R7;R17;R27;1
P8;R8;R18;R28;1
p9;R9;R19;R29;1
p10;R10;R20;R30;1
